type_mur;epaisseur_mur;annee_construction/lte;annee_construction/gte;u0;tv_umur0_id
pierre_moellons;20;;;3.2;2
pierre_moellons;25;;;2.85;3
pierre_moellons;30;;;2.65;4
pierre_moellons;35;;;2.45;5
pierre_moellons;40;;;2.3;6
pierre_moellons;45;;;2.15;7
pierre_moellons;50;;;2.05;8
pierre_moellons;55;;;1.9;9
pierre_moellons;60;;;1.8;10
pierre_moellons;65;;;1.75;11
pierre_moellons;70;;;1.65;12
pierre_moellons;75;;;1.55;13
pierre_moellons;80;;;1.5;14
pierre_moellons_avec_remplissage;50;;;1.9;15
pierre_moellons_avec_remplissage;55;;;1.75;16
pierre_moellons_avec_remplissage;60;;;1.6;17
pierre_moellons_avec_remplissage;65;;;1.5;18
pierre_moellons_avec_remplissage;70;;;1.45;19
pierre_moellons_avec_remplissage;75;;;1.3;20
pierre_moellons_avec_remplissage;80;;;1.25;21
pise_ou_beton_terre;40;;;1.75;22
pise_ou_beton_terre;45;;;1.65;23
pise_ou_beton_terre;50;;;1.55;24
pise_ou_beton_terre;55;;;1.45;25
pise_ou_beton_terre;60;;;1.35;26
pise_ou_beton_terre;65;;;1.25;27
pise_ou_beton_terre;70;;;1.2;28
pise_ou_beton_terre;75;;;1.15;29
pise_ou_beton_terre;80;;;1.1;30
pan_bois_sans_remplissage;8;;;3;31
pan_bois_sans_remplissage;10;;;2.7;32
pan_bois_sans_remplissage;13;;;2.35;33
pan_bois_sans_remplissage;18;;;1.98;34
pan_bois_sans_remplissage;24;;;1.65;35
pan_bois_sans_remplissage;32;;;1.35;36
pan_bois_avec_remplissage;;;;1.7;37
bois_rondin;10;;;1.6;38
bois_rondin;15;;;1.2;39
bois_rondin;20;;;0.95;40
bois_rondin;25;;;0.8;41
brique_pleine_simple;9;;;3.9;42
brique_pleine_simple;12;;;3.45;43
brique_pleine_simple;15;;;3.05;44
brique_pleine_simple;19;;;2.75;45
brique_pleine_simple;23;;;2.5;46
brique_pleine_simple;28;;;2.25;47
brique_pleine_simple;34;;;2;48
brique_pleine_simple;45;;;1.65;49
brique_pleine_simple;55;;;1.45;50
brique_pleine_simple;60;;;1.35;51
brique_pleine_simple;70;;;1.2;52
brique_pleine_double_avec_lame_air;20;;;2;53
brique_pleine_double_avec_lame_air;25;;;1.85;54
brique_pleine_double_avec_lame_air;30;;;1.65;55
brique_pleine_double_avec_lame_air;35;;;1.55;56
brique_pleine_double_avec_lame_air;45;;;1.35;57
brique_pleine_double_avec_lame_air;50;;;1.25;58
brique_pleine_double_avec_lame_air;60;;;1.2;59
brique_creuse;15;;;2.15;60
brique_creuse;18;;;2.05;61
brique_creuse;20;;;2;62
brique_creuse;23;;;1.85;63
brique_creuse;25;;;1.7;64
brique_creuse;28;;;1.68;65
brique_creuse;33;;;1.65;66
brique_creuse;38;;;1.55;67
brique_creuse;43;;;1.4;68
bloc_beton_plein;20;;;2.9;69
bloc_beton_plein;23;;;2.75;70
bloc_beton_plein;25;;;2.6;71
bloc_beton_plein;28;;;2.5;72
bloc_beton_plein;30;;;2.4;73
bloc_beton_plein;33;;;2.3;74
bloc_beton_plein;35;;;2.2;75
bloc_beton_plein;38;;;2.1;76
bloc_beton_plein;40;;;2.05;77
bloc_beton_creux;20;;;2.8;78
bloc_beton_creux;23;;;2.65;79
bloc_beton_creux;25;;;2.3;80
beton_banche;20;;;2.9;81
beton_banche;22.5;;;2.75;82
beton_banche;25;;;2.65;83
beton_banche;28;;;2.5;84
beton_banche;30;;;2.4;85
beton_banche;35;;;2.2;86
beton_banche;40;;;2.05;87
beton_banche;45;;;1.9;88
beton_machefer;20;;;2.75;89
beton_machefer;22.5;;;2.5;90
beton_machefer;25;;;2.4;91
beton_machefer;28;;;2.25;92
beton_machefer;30;;;2.15;93
beton_machefer;35;;;1.95;94
beton_machefer;40;;;1.8;95
brique_terre_cuite_alveolaire;30;;;0.47;96
brique_terre_cuite_alveolaire;37.5;;;0.4;97
beton_cellulaire;15;2012;;0.9;98
beton_cellulaire;17.5;2012;;0.79;99
beton_cellulaire;20;2012;;0.7;100
beton_cellulaire;22.5;2012;;0.63;101
beton_cellulaire;25;2012;;0.57;102
beton_cellulaire;27.5;2012;;0.53;103
beton_cellulaire;30;2012;;0.49;104
beton_cellulaire;32.5;2012;;0.45;105
beton_cellulaire;35;2012;;0.42;106
beton_cellulaire;37.5;2012;;0.4;107
beton_cellulaire;15;;2013;0.69;108
beton_cellulaire;17.5;;2013;0.6;109
beton_cellulaire;20;;2013;0.53;110
beton_cellulaire;22.5;;2013;0.48;111
beton_cellulaire;25;;2013;0.43;112
beton_cellulaire;27.5;;2013;0.4;113
beton_cellulaire;30;;2013;0.36;114
beton_cellulaire;32.5;;2013;0.3;115
beton_cellulaire;35;;2013;0.28;116
beton_cellulaire;37.5;;2013;0.22;117
ossature_bois_avec_remplissage_isolant;10;;2006;0.45;118
ossature_bois_avec_remplissage_isolant;15;;2006;0.35;119
ossature_bois_avec_remplissage_isolant;20;;2006;0.26;120
ossature_bois_avec_remplissage_isolant;25;;2006;0.21;121
ossature_bois_avec_remplissage_isolant;30;;2006;0.17;122
ossature_bois_avec_remplissage_isolant;35;;2006;0.15;123
ossature_bois_avec_remplissage_isolant;40;;2006;0.13;124
ossature_bois_avec_remplissage_isolant;45;;2006;0.11;125
sandwich_beton_isolant_beton_sans_isolation_rapportee;≤15;;;0.9;126
sandwich_beton_isolant_beton_sans_isolation_rapportee;20;;;0.48;127
sandwich_beton_isolant_beton_sans_isolation_rapportee;25;;;0.45;128
cloison_platre;;;;3.33;129
ossature_bois_avec_remplissage_isolant;10;2005;2001;0.52;130
ossature_bois_avec_remplissage_isolant;15;2005;2001;0.41;131
ossature_bois_avec_remplissage_isolant;20;2005;2001;0.3;132
ossature_bois_avec_remplissage_isolant;25;2005;2001;0.24;133
ossature_bois_avec_remplissage_isolant;30;2005;2001;0.2;134
ossature_bois_avec_remplissage_isolant;35;2005;2001;0.17;135
ossature_bois_avec_remplissage_isolant;40;2005;2001;0.15;136
ossature_bois_avec_remplissage_isolant;45;2005;2001;0.13;137
ossature_bois_sans_remplissage;8;;;3;138
ossature_bois_sans_remplissage;10;;;2.7;139
ossature_bois_sans_remplissage;13;;;2.35;140
ossature_bois_sans_remplissage;18;;;1.98;141
ossature_bois_sans_remplissage;24;;;1.65;142
ossature_bois_sans_remplissage;32;;;1.35;143
ossature_bois_avec_remplissage_isolant;10;2000;;0.65;144
ossature_bois_avec_remplissage_isolant;15;2000;;0.45;145
ossature_bois_avec_remplissage_isolant;20;2000;;0.34;146
ossature_bois_avec_remplissage_isolant;25;2000;;0.28;147
ossature_bois_avec_remplissage_isolant;30;2000;;0.23;148
ossature_bois_avec_remplissage_isolant;35;2000;;0.2;149
ossature_bois_avec_remplissage_isolant;40;2000;;0.18;150
ossature_bois_avec_remplissage_isolant;45;2000;;0.16;151
ossature_bois_avec_remplissage_tout_venant;8;;;1.7;152
ossature_bois_avec_remplissage_tout_venant;10;;;1.7;153
ossature_bois_avec_remplissage_tout_venant;13;;;1.7;154
ossature_bois_avec_remplissage_tout_venant;18;;;1.7;155
ossature_bois_avec_remplissage_tout_venant;24;;;1.7;156
ossature_bois_avec_remplissage_tout_venant;32;;;1.7;157
